Site ID,Surface Area (m^2)
1,1431937
2,3999336
3,39741
4,2687955
5,1626936
6,96595
7,193451
8,657746
9,616993
10,2255726
11,1309592
12,1741439
13,1795618
14,545561
15,3214380
16,599167
17,689511
18,1340348
19,410167
20,390001
21,1369543
22,1258106
23,351190
24,1552993
25,476416
26,246134
27,148255
28,731588
29,1109119
30,186439
31,203904
32,53615
33,478894
34,450778
35,636908
36,29232
37,3196
38,11174
39,1564848
40,29255
41,17474
42,136491
43,15866
44,793864
45,901199
46,1773494
47,29814
48,38051
49,36511
50,284234
51,363253
52,25958
53,449916
54,542675
55,47827
56,33245
57,10822
58,24012
59,11086
60,22469
61,196690
62,1304567
63,823086
64,67821
65,507012
66,339608
67,1401350
68,1461650
69,829589
70,157598
71,47529
72,62743
73,204456
74,98406
75,152984
76,208876
77,42441
78,43309
79,14630
80,3465
81,17142
82,17408
