Time, Expected Generation [Wh/m2], Min. Output at 95% Confidence [Wh/m2], Historic Variance, Historic Normalized Variance,,,Time
01/01/2017 00:00,0,0,0,0,,,00:00
01/01/2017 00:30,0,0,0,0,,,00:30
01/01/2017 01:00,0,0,0,0,,,01:00
01/01/2017 01:30,0,0,0,0,,,01:30
01/01/2017 02:00,0,0,0,0,,,02:00
01/01/2017 02:30,0,0,0,0,,,02:30
01/01/2017 03:00,0,0,0,0,,,03:00
01/01/2017 03:30,0,0,0,0,,,03:30
01/01/2017 04:00,0,0,0,0,,,04:00
01/01/2017 04:30,0,0,0,0,,,04:30
01/01/2017 05:00,0,0,0,0,,,05:00
01/01/2017 05:30,0,0,0,0,,,05:30
01/01/2017 06:00,0,0,0,0,,,06:00
01/01/2017 06:30,0,0,0,0,,,06:30
01/01/2017 07:00,0,0,0,0,,,07:00
01/01/2017 07:30,1.4325,0.653414316,0.15800625,0.110301047,,,07:30
01/01/2017 08:00,4.095,0.964820314,2.5506,0.622857143,,,08:00
01/01/2017 08:30,6.4275,0,12.03305625,1.87212077,,,08:30
01/01/2017 09:00,11.34,1.60353984,24.677775,2.176170635,,,09:00
01/01/2017 09:30,11.6925,0,46.57438125,3.983269724,,,09:30
01/01/2017 10:00,13.215,0.542707389,41.80365,3.163348468,,,10:00
01/01/2017 10:30,14.3925,0,65.89513125,4.578435383,,,10:30
01/01/2017 11:00,14.7825,0,91.00513125,6.156274734,,,11:00
01/01/2017 11:30,14.3325,0,107.6405063,7.510239403,,,11:30
01/01/2017 12:00,15.885,0,81.515025,5.131572238,,,12:00
01/01/2017 12:30,16.7625,0.10630489,72.21965625,4.30840604,,,12:30
01/01/2017 13:00,12.36,0,47.99565,3.883143204,,,13:00
01/01/2017 13:30,10.4325,1.512670476,20.71175625,1.985310927,,,13:30
01/01/2017 14:00,8.49,0.862610594,15.144525,1.78380742,,,14:00
01/01/2017 14:30,5.925,1.256128822,5.6745,0.957721519,,,14:30
01/01/2017 15:00,2.6625,0.737733288,0.96440625,0.36221831,,,15:00
01/01/2017 15:30,0,0,0,0,,,15:30
01/01/2017 16:00,0,0,0,0,,,16:00
01/01/2017 16:30,0,0,0,0,,,16:30
01/01/2017 17:00,0,0,0,0,,,17:00
01/01/2017 17:30,0,0,0,0,,,17:30
01/01/2017 18:00,0,0,0,0,,,18:00
01/01/2017 18:30,0,0,0,0,,,18:30
01/01/2017 19:00,0,0,0,0,,,19:00
01/01/2017 19:30,0,0,0,0,,,19:30
01/01/2017 20:00,0,0,0,0,,,20:00
01/01/2017 20:30,0,0,0,0,,,20:30
01/01/2017 21:00,0,0,0,0,,,21:00
01/01/2017 21:30,0,0,0,0,,,21:30
01/01/2017 22:00,0,0,0,0,,,22:00
01/01/2017 22:30,0,0,0,0,,,22:30
01/01/2017 23:00,0,0,0,0,,,23:00
01/01/2017 23:30,0,0,0,0,,,23:30
02/01/2017 00:00,0,0,0,0,,,
02/01/2017 00:30,0,0,0,0,,,
02/01/2017 01:00,0,0,0,0,,,
02/01/2017 01:30,0,0,0,0,,,
02/01/2017 02:00,0,0,0,0,,,
02/01/2017 02:30,0,0,0,0,,,
02/01/2017 03:00,0,0,0,0,,,
02/01/2017 03:30,0,0,0,0,,,
02/01/2017 04:00,0,0,0,0,,,
02/01/2017 04:30,0,0,0,0,,,
02/01/2017 05:00,0,0,0,0,,,
02/01/2017 05:30,0,0,0,0,,,
02/01/2017 06:00,0,0,0,0,,,
02/01/2017 06:30,0,0,0,0,,,
02/01/2017 07:00,0,0,0,0,,,
02/01/2017 07:30,1.44,0,0.771525,0.53578125,,,
02/01/2017 08:00,3.7425,0.03335878,3.58138125,0.956948898,,,
02/01/2017 08:30,7.8375,0.633657441,13.50928125,1.723672249,,,
02/01/2017 09:00,7.545,0,25.0146,3.315387674,,,
02/01/2017 09:30,12.015,0,37.831275,3.148670412,,,
02/01/2017 10:00,12.9825,0,70.97788125,5.467196707,,,
02/01/2017 10:30,14.3175,0,97.38050625,6.801502095,,,
02/01/2017 11:00,14.205,0,101.58885,7.151626188,,,
02/01/2017 11:30,11.775,0,111.115125,9.436528662,,,
02/01/2017 12:00,14.64,0,96.59565,6.598063525,,,
02/01/2017 12:30,12.15,0,67.591125,5.563055556,,,
02/01/2017 13:00,11.5725,0,42.09193125,3.637237524,,,
02/01/2017 13:30,8.97,0,24.79635,2.764364548,,,
02/01/2017 14:00,8.04,1.786893172,10.178775,1.266016791,,,
02/01/2017 14:30,5.2575,0.212065306,6.62675625,1.260438659,,,
02/01/2017 15:00,2.775,0,2.51325,0.905675676,,,
02/01/2017 15:30,0,0,0,0,,,
02/01/2017 16:00,0,0,0,0,,,
02/01/2017 16:30,0,0,0,0,,,
02/01/2017 17:00,0,0,0,0,,,
02/01/2017 17:30,0,0,0,0,,,
02/01/2017 18:00,0,0,0,0,,,
02/01/2017 18:30,0,0,0,0,,,
02/01/2017 19:00,0,0,0,0,,,
02/01/2017 19:30,0,0,0,0,,,
02/01/2017 20:00,0,0,0,0,,,
02/01/2017 20:30,0,0,0,0,,,
02/01/2017 21:00,0,0,0,0,,,
02/01/2017 21:30,0,0,0,0,,,
02/01/2017 22:00,0,0,0,0,,,
02/01/2017 22:30,0,0,0,0,,,
02/01/2017 23:00,0,0,0,0,,,
02/01/2017 23:30,0,0,0,0,,,
03/01/2017 00:00,0,0,0,0,,,
03/01/2017 00:30,0,0,0,0,,,
03/01/2017 01:00,0,0,0,0,,,
03/01/2017 01:30,0,0,0,0,,,
03/01/2017 02:00,0,0,0,0,,,
03/01/2017 02:30,0,0,0,0,,,
03/01/2017 03:00,0,0,0,0,,,
03/01/2017 03:30,0,0,0,0,,,
03/01/2017 04:00,0,0,0,0,,,
03/01/2017 04:30,0,0,0,0,,,
03/01/2017 05:00,0,0,0,0,,,
03/01/2017 05:30,0,0,0,0,,,
03/01/2017 06:00,0,0,0,0,,,
03/01/2017 06:30,0,0,0,0,,,
03/01/2017 07:00,0,0,0,0,,,
03/01/2017 07:30,1.755,0.884855452,0.1971,0.112307692,,,
03/01/2017 08:00,5.01,1.318757622,3.5469,0.707964072,,,
03/01/2017 08:30,7.5225,0.637108235,12.34130625,1.640585743,,,
03/01/2017 09:00,10.05,0.314605166,24.672375,2.454962687,,,
03/01/2017 09:30,10.0275,0,34.68155625,3.458644353,,,
03/01/2017 10:00,10.2975,0,45.01355625,4.371309177,,,
03/01/2017 10:30,8.4525,0,40.36505625,4.775516859,,,
03/01/2017 11:00,8.9025,0,71.09443125,7.985895114,,,
03/01/2017 11:30,10.365,0,52.3719,5.05276411,,,
03/01/2017 12:00,15.0825,0,80.30975625,5.324697911,,,
03/01/2017 12:30,13.2975,0,88.98305625,6.691713198,,,
03/01/2017 13:00,9.24,0,60.37515,6.534107143,,,
03/01/2017 13:30,10.35,0,29.095875,2.811195652,,,
03/01/2017 14:00,8.0925,0.530364009,14.88650625,1.839543559,,,
03/01/2017 14:30,5.205,0,10.302975,1.97943804,,,
03/01/2017 15:00,2.97,0.345202797,1.793475,0.603863636,,,
03/01/2017 15:30,0,0,0,0,,,
03/01/2017 16:00,0,0,0,0,,,
03/01/2017 16:30,0,0,0,0,,,
03/01/2017 17:00,0,0,0,0,,,
03/01/2017 17:30,0,0,0,0,,,
03/01/2017 18:00,0,0,0,0,,,
03/01/2017 18:30,0,0,0,0,,,
03/01/2017 19:00,0,0,0,0,,,
03/01/2017 19:30,0,0,0,0,,,
03/01/2017 20:00,0,0,0,0,,,
03/01/2017 20:30,0,0,0,0,,,
03/01/2017 21:00,0,0,0,0,,,
03/01/2017 21:30,0,0,0,0,,,
03/01/2017 22:00,0,0,0,0,,,
03/01/2017 22:30,0,0,0,0,,,
03/01/2017 23:00,0,0,0,0,,,
03/01/2017 23:30,0,0,0,0,,,
04/01/2017 00:00,0,0,0,0,,,
04/01/2017 00:30,0,0,0,0,,,
04/01/2017 01:00,0,0,0,0,,,
04/01/2017 01:30,0,0,0,0,,,
04/01/2017 02:00,0,0,0,0,,,
04/01/2017 02:30,0,0,0,0,,,
04/01/2017 03:00,0,0,0,0,,,
04/01/2017 03:30,0,0,0,0,,,
04/01/2017 04:00,0,0,0,0,,,
04/01/2017 04:30,0,0,0,0,,,
04/01/2017 05:00,0,0,0,0,,,
04/01/2017 05:30,0,0,0,0,,,
04/01/2017 06:00,0,0,0,0,,,
04/01/2017 06:30,0,0,0,0,,,
04/01/2017 07:00,0,0,0,0,,,
04/01/2017 07:30,1.2975,0,0.74030625,0.570563584,,,
04/01/2017 08:00,3.6825,0,5.68963125,1.545045825,,,
04/01/2017 08:30,5.415,0,20.321775,3.752867036,,,
04/01/2017 09:00,6.4275,0,29.62805625,4.609577013,,,
04/01/2017 09:30,6.945,0,37.02285,5.330863931,,,
04/01/2017 10:00,9.99,0,73.484775,7.355833333,,,
04/01/2017 10:30,7.14,0,50.327775,7.048707983,,,
04/01/2017 11:00,7.125,0,57.43575,8.061157895,,,
04/01/2017 11:30,5.9925,0.646383857,7.44013125,1.241573842,,,
04/01/2017 12:00,9.3825,0,37.30325625,3.975833333,,,
